stars,review_count,BusinessAcceptsCreditCards,OutdoorSeating,RestaurantsReservations,Caters,RestaurantsTakeOut,GoodForKids,RestaurantsGoodForGroups,RestaurantsDelivery,HasTV,BikeParking
2,6,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,,
1.5,20,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,402,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
3,63,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2,6,,,,,TRUE,,,TRUE,,
2.5,27,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
2,34,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3.5,29,TRUE,TRUE,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
4,88,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3.5,329,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4.5,13,TRUE,TRUE,FALSE,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
3.5,472,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
4,37,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2.5,14,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
2.5,38,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2,13,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
3.5,54,,TRUE,TRUE,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2.5,71,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,8,TRUE,,,,TRUE,TRUE,TRUE,,,
3.5,83,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
4,48,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,8,,,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,
1.5,9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
2,13,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,
3,167,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
4,92,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
4,34,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2,25,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2.5,7,,,,,TRUE,,,TRUE,,
4.5,12,TRUE,,,TRUE,TRUE,,,TRUE,,TRUE
4,223,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3.5,113,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,285,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,23,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2.5,35,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,55,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
3,206,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1,9,,,FALSE,,TRUE,,FALSE,FALSE,,
2,11,TRUE,,FALSE,,FALSE,TRUE,,TRUE,,
3.5,112,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4.5,6,,,,,,,,,,
2,24,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,8,,,FALSE,,,TRUE,TRUE,TRUE,,
2.5,6,TRUE,None,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
4,86,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,91,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2.5,24,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,
4,51,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
1.5,11,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3.5,27,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,81,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4.5,2062,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1.5,14,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,
2,7,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,
4,423,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,441,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4.5,140,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2.5,45,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1.5,12,TRUE,,FALSE,,TRUE,TRUE,,TRUE,TRUE,
3.5,46,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2,15,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2,22,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2.5,5,,,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,
4,25,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,
1.5,13,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
3,67,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,48,,TRUE,,,TRUE,,,TRUE,TRUE,
1.5,19,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,11,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,
4,67,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
3,7,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,FALSE,,
2.5,15,TRUE,None,FALSE,None,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4.5,234,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4.5,5,TRUE,,FALSE,,TRUE,TRUE,FALSE,FALSE,,
1.5,36,,TRUE,FALSE,,TRUE,,TRUE,TRUE,TRUE,
2.5,8,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2.5,20,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,184,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3.5,45,,TRUE,,,,,,,TRUE,
1.5,19,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
3.5,122,TRUE,None,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
4,67,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3.5,39,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2.5,34,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2.5,39,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,28,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
4.5,18,TRUE,,FALSE,FALSE,TRUE,TRUE,,TRUE,,FALSE
2.5,42,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3.5,72,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
4,184,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1.5,89,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,47,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2.5,36,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2.5,28,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3.5,103,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3.5,50,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,57,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2,21,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2.5,9,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
3.5,16,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,,
2.5,13,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3.5,94,,,FALSE,,TRUE,,FALSE,TRUE,TRUE,
4,495,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2,41,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3.5,89,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
3.5,174,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,120,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,20,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2.5,76,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,42,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,28,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2.5,7,TRUE,TRUE,,,TRUE,,,TRUE,,
2,62,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,25,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
5,10,,TRUE,,TRUE,TRUE,,,TRUE,,
4,121,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1,10,,,FALSE,,TRUE,,TRUE,TRUE,,
1.5,34,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
1,38,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
1.5,13,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,
4.5,11,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,329,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2,21,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,,FALSE
2,84,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,29,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,72,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2.5,148,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3.5,63,TRUE,TRUE,TRUE,,TRUE,FALSE,TRUE,FALSE,TRUE,
1.5,32,TRUE,None,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,622,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,40,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,520,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
4.5,885,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1.5,27,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1.5,13,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,
1.5,9,,,,,TRUE,,,TRUE,TRUE,
2,32,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
2,9,,,,,TRUE,,,TRUE,,
4.5,22,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
5,8,TRUE,,,TRUE,TRUE,,,TRUE,,TRUE
1.5,51,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
1.5,11,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,
3.5,112,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,None,FALSE,TRUE
1,22,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,FALSE
4.5,263,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3.5,197,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,721,TRUE,None,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4.5,41,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1,11,TRUE,,,,TRUE,,,TRUE,,
1.5,38,TRUE,,,,TRUE,,,TRUE,,
2.5,31,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3.5,34,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3.5,95,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1.5,51,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE
1.5,86,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2.5,42,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,
3,75,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
4,236,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,None,TRUE,
3,146,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2,37,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,39,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,10,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,17,,TRUE,,,,,,,TRUE,
4.5,115,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3.5,302,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
4.5,46,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,TRUE,TRUE,TRUE
4,18,,,,,TRUE,,,TRUE,,
3,30,TRUE,,FALSE,,TRUE,TRUE,FALSE,,TRUE,
3,20,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,24,FALSE,,,,TRUE,,,,,TRUE
2.5,32,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,165,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
4.5,33,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
2,24,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
3.5,11,,,,,,,,,,
4.5,8,,,,,TRUE,,,TRUE,,
4,44,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE
2.5,38,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,8,,,FALSE,,FALSE,,FALSE,TRUE,,
1.5,83,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,5,TRUE,,FALSE,TRUE,TRUE,TRUE,,,,
2,15,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,
1.5,21,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
4,831,TRUE,None,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2,18,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,48,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2.5,38,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
4,101,TRUE,FALSE,TRUE,,FALSE,FALSE,TRUE,FALSE,TRUE,
3,178,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,17,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
4,156,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
4,162,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE
2,20,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3.5,7,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4.5,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
1.5,18,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
4.5,17,TRUE,TRUE,FALSE,TRUE,TRUE,,,TRUE,FALSE,TRUE
4,608,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
3.5,129,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2,9,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,
4,128,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3.5,378,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,34,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,34,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3.5,20,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,21,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3.5,16,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2.5,29,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
4,314,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
4.5,10,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2,21,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2.5,13,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3.5,5,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,
1.5,37,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,
1.5,11,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,25,TRUE,None,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,26,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,30,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
2,12,TRUE,,FALSE,,FALSE,,TRUE,TRUE,,
2,19,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2.5,108,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,13,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,16,TRUE,None,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3.5,35,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2,18,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,25,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,None,
3.5,8,,,,,None,,,None,,
2,21,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,74,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,,
4.5,32,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
4.5,34,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1.5,15,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2.5,61,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,77,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
4,157,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2.5,17,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,74,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
3,26,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,,
2.5,27,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,
3,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
3.5,32,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
2,11,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
1.5,6,TRUE,,FALSE,,FALSE,TRUE,TRUE,TRUE,,
1.5,13,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,
4,156,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,14,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3.5,122,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,None,FALSE,FALSE
4,41,TRUE,FALSE,FALSE,TRUE,TRUE,,,TRUE,TRUE,FALSE
2,47,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2,67,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2.5,59,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
5,69,,TRUE,,,TRUE,,,TRUE,,
3.5,23,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,,
2,69,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,,
4,95,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
4,87,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
