state,stars,review_count,BusinessAcceptsCreditCards,OutdoorSeating,RestaurantsReservations,Caters,RestaurantsTakeOut,GoodForKids,RestaurantsGoodForGroups,RestaurantsDelivery,HasTV,BikeParking
AZ,2.5,71,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NV,4,8,TRUE,,,,TRUE,TRUE,TRUE,,,
LA,3.5,83,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
PA,4,48,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AB,3,8,,,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,
TN,1.5,9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
PA,2,13,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,
LA,3,167,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
NV,4,92,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
PA,4,34,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
AZ,2,25,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
FL,2.5,7,,,,,TRUE,,,TRUE,,
CA,4.5,12,TRUE,,,TRUE,TRUE,,,TRUE,,TRUE
FL,4,223,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
LA,3.5,113,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FL,3,285,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LA,1.5,23,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
NV,2.5,35,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
PA,2,55,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
TN,3,206,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
IN,1,9,,,FALSE,,TRUE,,FALSE,FALSE,,
FL,2,11,TRUE,,FALSE,,FALSE,TRUE,,TRUE,,
AZ,3.5,112,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AZ,4.5,6,,,,,,,,,,
FL,2,24,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
AB,3,8,,,FALSE,,,TRUE,TRUE,TRUE,,
IN,2.5,6,TRUE,None,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
IN,4,86,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
FL,3,91,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TN,2.5,24,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,
PA,4,51,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
MO,1.5,11,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
PA,3.5,27,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PA,3,81,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
LA,4.5,2062,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
NJ,1.5,14,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,
IL,2,7,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,
IN,4,423,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IN,4,441,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
TN,4.5,140,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
FL,2.5,45,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
IL,1.5,12,TRUE,,FALSE,,TRUE,TRUE,,TRUE,TRUE,
PA,3.5,46,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
PA,2,15,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FL,2,22,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AB,2.5,5,,,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,
NJ,4,25,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,
LA,1.5,13,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
IN,3,67,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
IN,3,48,,TRUE,,,TRUE,,,TRUE,TRUE,
IL,1.5,19,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IN,2,11,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,
LA,4,67,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
TN,3,7,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,FALSE,,
PA,2.5,15,TRUE,None,FALSE,None,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LA,4.5,234,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TN,4.5,5,TRUE,,FALSE,,TRUE,TRUE,FALSE,FALSE,,
AZ,1.5,36,,TRUE,FALSE,,TRUE,,TRUE,TRUE,TRUE,
NJ,2.5,8,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
IN,2.5,20,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
TN,4,184,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
PA,3.5,45,,TRUE,,,,,,,TRUE,
LA,1.5,19,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
FL,3.5,122,TRUE,None,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
AB,4,67,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
NJ,3.5,39,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MO,2.5,34,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
NJ,2.5,39,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TN,2,28,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
FL,4.5,18,TRUE,,FALSE,FALSE,TRUE,TRUE,,TRUE,,FALSE
FL,2.5,42,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
FL,3.5,72,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
IN,4,184,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
NV,1.5,89,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
TN,4,47,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ID,2.5,36,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
FL,2.5,28,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PA,3.5,103,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
PA,3.5,50,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NV,1.5,57,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
AZ,2,21,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
TN,2.5,9,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,
FL,3.5,16,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,,
FL,2.5,13,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NJ,3.5,94,,,FALSE,,TRUE,,FALSE,TRUE,TRUE,
PA,4,495,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
IN,2,41,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
LA,3.5,89,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
MO,3.5,174,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TN,2,120,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PA,2,20,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
IN,2.5,76,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
PA,3,42,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
IN,3,28,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
TN,2.5,7,TRUE,TRUE,,,TRUE,,,TRUE,,
TN,2,62,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DE,1.5,25,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
FL,5,10,,TRUE,,TRUE,TRUE,,,TRUE,,
NJ,4,121,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
PA,1,10,,,FALSE,,TRUE,,TRUE,TRUE,,
TN,1.5,34,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
PA,1,38,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
FL,1.5,13,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,
AB,4.5,11,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
CA,4,329,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
PA,2,21,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,,FALSE
TN,2,84,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FL,1.5,29,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NJ,4,72,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
ID,2.5,148,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
MO,3.5,63,TRUE,TRUE,TRUE,,TRUE,FALSE,TRUE,FALSE,TRUE,
PA,1.5,32,TRUE,None,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PA,4,622,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PA,1.5,40,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NV,4,520,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CA,4.5,885,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
PA,1.5,27,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
PA,1.5,13,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,
NJ,1.5,9,,,,,TRUE,,,TRUE,TRUE,
TN,2,32,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
PA,2,9,,,,,TRUE,,,TRUE,,
PA,4.5,22,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
PA,5,8,TRUE,,,TRUE,TRUE,,,TRUE,,TRUE
NV,1.5,51,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
LA,1.5,11,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,
TN,3.5,112,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,None,FALSE,TRUE
PA,1,22,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,FALSE
MO,4.5,263,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
CA,3.5,197,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TN,4,721,TRUE,None,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IN,4.5,41,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NJ,1,11,TRUE,,,,TRUE,,,TRUE,,
TN,1.5,38,TRUE,,,,TRUE,,,TRUE,,
TN,2.5,31,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
NJ,3.5,34,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
FL,3.5,95,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
IN,1.5,51,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE
CA,1.5,86,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
NV,2.5,42,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,
LA,3,75,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
MO,4,236,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,None,TRUE,
PA,3,146,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
PA,2,37,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MO,1.5,39,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MO,2,10,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
FL,3,17,,TRUE,,,,,,,TRUE,
IN,4.5,115,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
AZ,3.5,302,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
MO,4.5,46,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,TRUE,TRUE,TRUE
TN,4,18,,,,,TRUE,,,TRUE,,
NJ,3,30,TRUE,,FALSE,,TRUE,TRUE,FALSE,,TRUE,
TN,3,20,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
NJ,4,24,FALSE,,,,TRUE,,,,,TRUE
NJ,2.5,32,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
LA,4,165,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
IL,4.5,33,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
PA,2,24,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
AB,3.5,11,,,,,,,,,,
PA,4.5,8,,,,,TRUE,,,TRUE,,
FL,4,44,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE
FL,2.5,38,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
AB,2,8,,,FALSE,,FALSE,,FALSE,TRUE,,
AZ,1.5,83,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TN,4,5,TRUE,,FALSE,TRUE,TRUE,TRUE,,,,
PA,2,15,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,
AZ,1.5,21,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
LA,4,831,TRUE,None,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
ID,2,18,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FL,3,48,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
AB,2.5,38,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
PA,4,101,TRUE,FALSE,TRUE,,FALSE,FALSE,TRUE,FALSE,TRUE,
ID,3,178,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LA,1.5,17,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
NV,4,156,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CA,4,162,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE
LA,2,20,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TN,3.5,7,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
LA,4.5,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
ID,1.5,18,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
LA,4.5,17,TRUE,TRUE,FALSE,TRUE,TRUE,,,TRUE,FALSE,TRUE
AZ,4,608,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
PA,3.5,129,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
IN,2,9,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,
MO,4,128,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
TN,3.5,378,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NJ,2,34,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
AB,3,34,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
TN,3.5,20,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FL,2,21,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IL,3.5,16,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
FL,2.5,29,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
PA,4,314,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
PA,4.5,10,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
TN,2,21,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
ID,2.5,13,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NJ,3.5,5,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,
IL,1.5,37,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,
AB,1.5,11,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AZ,1.5,25,TRUE,None,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IN,1.5,26,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
PA,3,30,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
NJ,2,12,TRUE,,FALSE,,FALSE,,TRUE,TRUE,,
IN,2,19,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FL,2.5,108,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IN,2,13,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
TN,4,16,TRUE,None,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
NJ,3.5,35,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
AZ,2,18,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FL,3,25,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,None,
FL,3.5,8,,,,,None,,,None,,
MO,2,21,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PA,1.5,74,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,,
ID,4.5,32,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
LA,4.5,34,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
PA,1.5,15,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FL,2.5,61,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FL,2,77,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
NV,4,157,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
AB,2.5,17,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PA,1.5,74,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
NJ,3,26,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,,
PA,2.5,27,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,
